institute_id,institute_name,total_docs,total_paragraphs,classified_paragraphs,classified_paragraph_share,classified_weight_sum,dominant_domain,dominant_domain_share,dominant_domain_runner_up,dominant_domain_runner_up_share,dominant_domain_gap,dominant_domain_tie_flag,dominant_domain_borderline_flag,low_volume_flag,year_min,year_max,security_strategy_salience_share,security_strategy_oriented_prop,security_strategy_rival_among_oriented,security_strategy_collaborator_among_oriented,security_strategy_rival_prop,security_strategy_collaborator_prop,security_strategy_neutral_prop,economy_trade_salience_share,economy_trade_oriented_prop,economy_trade_rival_among_oriented,economy_trade_collaborator_among_oriented,economy_trade_rival_prop,economy_trade_collaborator_prop,economy_trade_neutral_prop,science_technology_salience_share,science_technology_oriented_prop,science_technology_rival_among_oriented,science_technology_collaborator_among_oriented,science_technology_rival_prop,science_technology_collaborator_prop,science_technology_neutral_prop,environment_climate_salience_share,environment_climate_oriented_prop,environment_climate_rival_among_oriented,environment_climate_collaborator_among_oriented,environment_climate_rival_prop,environment_climate_collaborator_prop,environment_climate_neutral_prop,governance_law_salience_share,governance_law_oriented_prop,governance_law_rival_among_oriented,governance_law_collaborator_among_oriented,governance_law_rival_prop,governance_law_collaborator_prop,governance_law_neutral_prop,society_culture_salience_share,society_culture_oriented_prop,society_culture_rival_among_oriented,society_culture_collaborator_among_oriented,society_culture_rival_prop,society_culture_collaborator_prop,society_culture_neutral_prop,overall_rival_share,overall_collaborator_share,overall_neutral_share,overall_oriented_share,overall_rival_among_oriented,overall_collaborator_among_oriented,security_strategy_weight,economy_trade_weight,science_technology_weight,environment_climate_weight,governance_law_weight,society_culture_weight,security_strategy_rival_share,security_strategy_collaborator_share,security_strategy_neutral_share,economy_trade_rival_share,economy_trade_collaborator_share,economy_trade_neutral_share,science_technology_rival_share,science_technology_collaborator_share,science_technology_neutral_share,environment_climate_rival_share,environment_climate_collaborator_share,environment_climate_neutral_share,governance_law_rival_share,governance_law_collaborator_share,governance_law_neutral_share,society_culture_rival_share,society_culture_collaborator_share,society_culture_neutral_share
durham_china_centre,Durham China Centre,236,236,139,0.588983,138.999996,economy_trade,0.239384,society_culture,0.216021,0.023363,False,True,False,2015.0,2026.0,0.168774,0.038415,0.127684,0.872316,0.004905,0.03351,0.961585,0.239384,0.020143,0.659336,0.340664,0.013281,0.006862,0.979856,0.210252,0.076814,0.239696,0.760304,0.018412,0.058402,0.923186,0.049182,0.094568,0.542372,0.457628,0.051291,0.043277,0.905431,0.116386,0.068092,0.355813,0.644187,0.024228,0.043864,0.931908,0.216021,0.039356,0.554528,0.445472,0.021824,0.017532,0.960644,0.017935,0.030598,0.951466,0.048533,0.369542,0.630458,23.459624,33.274381,29.225093,6.836316,16.177613,30.026969,0.115073,0.7861210000000001,22.55843,0.441929,0.228344,32.604108,0.538093,1.706799,26.980201,0.350644,0.295858,6.189814,0.391952,0.709616,15.076045,0.655316,0.526433,28.84522
east_asian_institute,East Asian Institute,174,174,148,0.850575,148.000004,economy_trade,0.33347,security_strategy,0.230999,0.102471,False,False,False,2000.0,2025.0,0.230999,0.159872,0.165113,0.834887,0.026397,0.133475,0.840128,0.33347,0.108048,0.046507,0.953493,0.005025,0.103023,0.891952,0.121295,0.075503,0.0,1.0,0.0,0.075503,0.924497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108464,0.047479,0.0,1.0,0.0,0.047479,0.952521,0.205772,0.049929,0.016403,0.983597,0.000819,0.04911,0.950071,0.007942,0.089601,0.902457,0.097543,0.081421,0.918579,34.187831,49.35356,17.951594,0.0,16.052734,30.454285,0.902457,4.563204,28.72217,0.247987,5.084575,44.020997,0.0,1.3554059999999999,16.596188,0.0,0.0,0.0,0.0,0.762171,15.290563,0.024932,1.495624,28.933729
east_asian_studies_center,East Asian Studies Center,170,170,89,0.523529,89.0,society_culture,0.468347,environment_climate,0.139321,0.329026,False,False,False,2001.0,2025.0,0.128742,0.072136,0.165243,0.834757,0.01192,0.060216,0.927865,0.135935,0.056349,0.106284,0.893716,0.005989,0.05036,0.943652,0.093201,0.034953,0.626613,0.373387,0.021902,0.013051,0.965047,0.139321,0.001124,1.0,0.0,0.001124,0.0,0.998876,0.034455,0.005486,0.207073,0.792927,0.001136,0.00435,0.994514,0.468347,0.01915,0.709504,0.290496,0.013587,0.005563,0.98085,0.010949,0.01857,0.970481,0.029519,0.370914,0.629086,11.457997,12.098195,8.294907,12.399574,3.066481,41.682846,0.136574,0.6899500000000001,10.631473,0.07245099999999999,0.60926,11.416484,0.181678,0.108255,8.004974,0.013935,0.0,12.385639,0.003484,0.013339,3.049658,0.5663330000000001,0.23188799999999998,40.884625
european_think_tank_network_on_china_etnc,European Think-tank Network on China (ETNC),33,33,25,0.757576,24.999999,security_strategy,0.382609,economy_trade,0.301511,0.081098,False,False,False,2014.0,2025.0,0.382609,0.11382,0.328387,0.671613,0.037377,0.076443,0.88618,0.301511,0.224811,0.310363,0.689637,0.069773,0.155038,0.775189,0.118503,0.063122,0.188952,0.811048,0.011927,0.051195,0.936879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149227,0.09078,0.104329,0.895671,0.009471,0.081309,0.90922,0.04815,0.06541,0.621358,0.378642,0.040643,0.024767,0.93459,0.040122,0.095386,0.864492,0.135508,0.296086,0.703914,9.56523,7.537781,2.962575,0.0,3.730674,1.2037390000000001,0.35751999999999995,0.7311960000000001,8.476514,0.525936,1.16864,5.843205,0.035334,0.151668,2.775573,0.0,0.0,0.0,0.035334,0.303337,3.392003,0.048924,0.029813,1.125002
fairbank_center_for_chinese_studies,Fairbank Center for Chinese Studies,133,133,88,0.661654,87.999995,security_strategy,0.551247,society_culture,0.165517,0.38573,False,False,False,2000.0,2025.0,0.551247,0.121852,0.307332,0.692668,0.037449,0.084403,0.878147,0.099079,0.098406,0.009989,0.990011,0.000983,0.097423,0.901594,0.085163,0.035046,0.180734,0.819266,0.006334,0.028712,0.964954,0.010621,0.0,0.0,0.0,0.0,0.0,1.0,0.088373,0.017115,0.446626,0.553374,0.007644,0.009471,0.982885,0.165517,0.099201,0.156984,0.843016,0.015573,0.083628,0.900799,0.024534,0.073304,0.902163,0.097838,0.250761,0.749239,48.509745,8.718954,7.494384,0.934659,7.776785,14.565468,1.816661,4.094373,42.59871,0.008575,0.849426,7.860953,0.047466999999999995,0.215179,7.231738,0.0,0.0,0.934659,0.059446,0.073657,7.643682,0.226821,1.2180819999999999,13.120565000000001
freeman_chair_in_china_studies,Freeman Chair in China Studies,75,75,51,0.68,51.000003,security_strategy,0.368409,governance_law,0.238369,0.13004,False,False,False,2000.0,2026.0,0.368409,0.221772,0.21156,0.78844,0.046918,0.174854,0.778229,0.182582,0.108192,0.567316,0.432684,0.061379,0.046813,0.891807,0.075905,0.093343,0.616683,0.383317,0.057563,0.03578,0.906657,0.005719,0.0,0.0,0.0,0.0,0.0,1.0,0.238369,0.041756,0.729931,0.270069,0.030479,0.011277,0.958244,0.129016,0.084306,0.577088,0.422912,0.048652,0.035654,0.915694,0.046403,0.082969,0.870628,0.129372,0.358679,0.641321,18.788852,9.311683,3.871146,0.291667,12.156845,6.57981,0.881529,3.285299,14.622025,0.5715439999999999,0.435911,8.304228,0.222835,0.13850800000000002,3.5098030000000002,0.0,0.0,0.291667,0.37052999999999997,0.137096,11.649219,0.320123,0.234595,6.025092
georgetown_initiative_for_u_s_china_dialogue_on_global_issues,Georgetown Initiative for U.S.-China Dialogue on Global Issues,33,33,28,0.848485,28.000001,security_strategy,0.372485,governance_law,0.18068,0.191805,False,False,False,2019.0,2026.0,0.372485,0.069188,1.0,0.0,0.069188,0.0,0.930812,0.115105,0.11792,1.0,0.0,0.11792,0.0,0.88208,0.075717,0.0,0.0,0.0,0.0,0.0,1.0,0.102473,0.0,0.0,0.0,0.0,0.0,1.0,0.18068,0.015135,1.0,0.0,0.015135,0.0,0.984865,0.153541,0.0,0.0,0.0,0.0,0.0,1.0,0.042079,0.0,0.957921,0.042079,1.0,0.0,10.429571,3.22295,2.120085,2.869231,5.059027,4.299137,0.721598,0.0,9.707973,0.380051,0.0,2.842899,0.0,0.0,2.120085,0.0,0.0,2.869231,0.076569,0.0,4.982458,0.0,0.0,4.299137
global_china_center,Global China Center,19,19,19,1.0,19.000003,economy_trade,0.392804,environment_climate,0.16118,0.231624,False,False,True,2006.0,2025.0,0.108592,0.46136,0.0,1.0,0.0,0.46136,0.53864,0.392804,0.080667,0.0,1.0,0.0,0.080667,0.919333,0.102944,0.019112,0.0,1.0,0.0,0.019112,0.980888,0.16118,0.129387,0.0,1.0,0.0,0.129387,0.870613,0.105868,0.0,0.0,0.0,0.0,0.0,1.0,0.128613,0.07666,0.0,1.0,0.0,0.07666,0.92334,0.0,0.114468,0.885532,0.114468,0.0,1.0,2.063242,7.463274,1.9559380000000002,3.062412,2.011496,2.443641,0.0,0.951897,1.111345,0.0,0.602043,6.861231,0.0,0.037381,1.918557,0.0,0.396236,2.666176,0.0,0.0,2.011496,0.0,0.18732900000000002,2.256312
hoover_china_s_global_sharp_power_project,Hoover China's Global Sharp Power Project,44,44,40,0.909091,39.999998,security_strategy,0.538756,science_technology,0.16546,0.373296,False,False,False,2018.0,2026.0,0.538756,0.249672,0.66494,0.33506,0.166017,0.083655,0.750328,0.093919,0.210835,0.379572,0.620428,0.080027,0.130808,0.789165,0.16546,0.211598,0.493568,0.506432,0.104438,0.10716,0.788402,0.00395,0.151722,0.455096,0.544904,0.069048,0.082674,0.848266,0.153106,0.192774,0.765695,0.234305,0.147606,0.045168,0.807226,0.044809,0.313746,0.890023,0.109977,0.279241,0.034505,0.686255,0.149623,0.083874,0.766503,0.233497,0.640792,0.359208,21.550228,3.756778,6.618384,0.158007,6.124258,1.792343,3.577697,1.802784,16.16975,0.300643,0.491416,2.964719,0.691213,0.709227,5.217946,0.01091,0.013063000000000002,0.134032,0.90398,0.27662,4.943658,0.500495,0.061843999999999996,1.230004
hopkins_nanjing_center,Hopkins-Nanjing Center,69,69,62,0.898551,62.0,economy_trade,0.480085,security_strategy,0.237072,0.243013,False,False,False,2004.0,2026.0,0.237072,0.253951,0.24485,0.75515,0.06218,0.191771,0.746048,0.480085,0.20068,0.13244,0.86756,0.026578,0.174102,0.79932,0.054312,0.062715,0.0,1.0,0.0,0.062715,0.937285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066633,0.155005,0.184826,0.815174,0.028649,0.126356,0.844996,0.161898,0.080205,0.419325,0.580675,0.033632,0.046573,0.919796,0.034855,0.148413,0.816732,0.183268,0.190186,0.809814,14.698449,29.765283,3.367351,0.0,4.131269,10.037648,0.9139550000000001,2.818743,10.965752,0.791108,5.182188,23.791988,0.0,0.211183,3.156168,0.0,0.0,0.0,0.118355,0.522009,3.4909049999999997,0.337584,0.467479,9.232585
