model,outcome,weight_col,term,estimate,std_error_cluster,t_stat,p_value,ci_low,ci_high,n_rows,n_clusters
broad_panel_controls,mean_embedding_score,orientation_docs,Intercept,0.09939850389147258,0.019591066917991454,5.073664660916959,2.687093104258809e-06,0.06100001273220933,0.13779699505073584,1080,77
broad_panel_controls,mean_embedding_score,orientation_docs,ci_present,-0.11270878594641282,0.0676809689507415,-1.6652950998447253,0.09997123202647071,-0.24536348508986613,0.019945913197040505,1080,77
broad_panel_controls,mean_embedding_score,orientation_docs,ci_closed,0.05240245886884543,0.07447298805619325,0.7036438343162141,0.4838048371220631,-0.09356459772129333,0.19836951545898418,1080,77
broad_panel_controls,mean_embedding_score,orientation_docs,post_ci_closure,-0.09525778400364382,0.06521030522804272,-1.4607780728908417,0.1481983729942676,-0.22306998225060753,0.032554414243319896,1080,77
broad_panel_controls,mean_embedding_score,orientation_docs,years_since_ci_closure,0.003947026546164497,0.007849718013435253,0.5028239918184232,0.6165420659784989,-0.0114384207601686,0.019332473852497593,1080,77
broad_panel_controls,mean_embedding_score,orientation_docs,year_centered,0.004476566471724072,0.0015524064449334116,2.883630434757753,0.005110803129692329,0.001433849839654585,0.007519283103793559,1080,77
broad_panel_controls,mean_embedding_score,orientation_docs,region[Europe],-0.10165787154495787,0.026761869895640417,-3.7986086899524993,0.0002911955802979841,-0.15411113654041309,-0.04920460654950265,1080,77
broad_panel_controls,mean_embedding_score,orientation_docs,region[Asia],-0.1218986259112536,0.0831162488722658,-1.466604034291647,0.14660958765012194,-0.28480647370089457,0.04100922187838739,1080,77
broad_panel_controls,mean_embedding_score,orientation_docs,region[Oceania],-0.07568689602056167,0.06443710539322513,-1.1745855987584342,0.24382776868439193,-0.2019836225912829,0.05060983055015958,1080,77
broad_panel_controls,mean_embedding_score,orientation_docs,region[Mixed/Other],-0.09707539810601806,0.04872743641847578,-1.9922122984744255,0.049939502451411384,-0.1925811734862306,-0.0015696227258055334,1080,77
broad_panel_controls,mean_embedding_score,orientation_docs,type[joint center],-0.08636695996565057,0.04588314041356563,-1.8823245136925206,0.06361976868782322,-0.17629791517623922,0.00356399524493807,1080,77
