source_type,docs_total,orientation_docs,mean_embedding_score,mean_dictionary_score,sensitive_share,mean_tokens
indexed,8245,6009,0.039614442735910416,-0.034588841737393905,0.03468768950879321,158.37841115827774
policy_document,726,199,-0.21873478591442108,-0.010887773869346733,0.0013774104683195593,25.550964187327825
grey,387,180,-0.03509121388196945,-0.17884217777777778,0.07751937984496124,4356.266149870801
