institute_id,institute_name,total_docs,total_paragraphs,classified_paragraphs,classified_paragraph_share,classified_weight_sum,dominant_domain,dominant_domain_share,dominant_domain_runner_up,dominant_domain_runner_up_share,dominant_domain_gap,dominant_domain_tie_flag,dominant_domain_borderline_flag,low_volume_flag,year_min,year_max,security_strategy_salience_share,economy_trade_salience_share,science_technology_salience_share,environment_climate_salience_share,governance_law_salience_share,society_culture_salience_share,security_strategy_rival_prop,security_strategy_collaborator_prop,economy_trade_rival_prop,economy_trade_collaborator_prop,science_technology_rival_prop,science_technology_collaborator_prop,environment_climate_rival_prop,environment_climate_collaborator_prop,governance_law_rival_prop,governance_law_collaborator_prop,society_culture_rival_prop,society_culture_collaborator_prop
mercator_institute_for_china_studies_merics,Mercator Institute for China Studies (MERICS),46,46,37,0.804348,37.000002,economy_trade,0.322904,governance_law,0.204778,0.118126,False,False,False,2013.0,2025.0,0.173394,0.322904,0.114477,0.157513,0.204778,0.026934,0.056225,0.110619,0.003636,0.052146,0.085035,0.031643,0.004237,0.154095,0.003033,0.012628,0.005284,0.018145
needham_research_institute,Needham Research Institute,98,98,69,0.704082,69.0,society_culture,0.76382,science_technology,0.080656,0.683164,False,False,False,2000.0,2025.0,0.026275,0.055601,0.080656,0.000167,0.073481,0.76382,0.038438,0.041034,0.0,0.060064,0.0,0.014272,0.0,0.119454,0.0,9e-05,0.007933,0.01973
new_zealand_contemporary_china_research_centre,New Zealand Contemporary China Research Centre,147,147,120,0.816327,119.999999,security_strategy,0.335801,society_culture,0.333834,0.001967,False,True,False,2009.0,2025.0,0.335801,0.170274,0.06354,0.070606,0.025945,0.333834,0.091668,0.116475,0.050644,0.124119,0.059753,0.179828,0.007289,0.010927,0.030331,0.095547,0.016688,0.018778
nordic_institute_of_asian_studies,Nordic Institute of Asian Studies,225,225,170,0.755556,169.999999,governance_law,0.401647,security_strategy,0.231022,0.170625,False,False,False,2000.0,2025.0,0.231022,0.164171,0.048055,0.04231,0.401647,0.112795,0.068023,0.084838,0.001486,0.050262,0.049197,0.034561,0.0,0.121327,0.00348,0.032061,0.010178,0.065878
paul_tsai_china_center,Paul Tsai China Center,135,135,109,0.807407,108.999998,society_culture,0.320432,security_strategy,0.282926,0.037506,False,True,False,2000.0,2025.0,0.282926,0.086756,0.076999,0.002857,0.230029,0.320432,0.025624,0.06255,0.065,0.100946,0.014337,0.012077,0.0,0.076203,0.016439,0.013167,0.028216,0.007394
penn_project_on_the_future_of_u_s_china_relations,Penn Project on the Future of U.S.-China Relations,339,339,260,0.766962,259.999998,security_strategy,0.394439,economy_trade,0.177881,0.216558,False,False,False,2012.0,2026.0,0.394439,0.177881,0.079732,0.081686,0.136381,0.129881,0.097605,0.052185,0.014441,0.054422,0.004281,0.069456,0.0,0.098638,0.047559,0.016215,0.020593,0.01738
penn_wharton_china_center,Penn Wharton China Center,49,49,43,0.877551,43.000001,security_strategy,0.355112,governance_law,0.320749,0.034363,False,True,False,2015.0,2025.0,0.355112,0.071675,0.103968,0.0,0.320749,0.148496,0.028144,0.015998,0.010712,0.22664,0.001034,0.037214,0.0,0.0,0.023018,0.068419,0.0,0.03588
princeton_china_center,Princeton China Center,41,41,34,0.829268,34.0,security_strategy,0.516755,society_culture,0.219106,0.297649,False,False,False,2017.0,2025.0,0.516755,0.096141,0.037275,0.0,0.130723,0.219106,0.153756,0.149655,0.270316,0.158769,0.172785,0.0,0.0,0.0,0.073535,0.065595,0.018466,0.030757
rsu_china_studies_centre,RSU China Studies Centre,3,3,3,1.0,2.999999,security_strategy,0.399068,economy_trade,0.31112,0.087948,False,False,True,,,0.399068,0.31112,0.141848,0.029684,0.111691,0.006588,0.073598,0.25723,0.081248,0.232997,0.022063,0.235406,0.024334,0.349148,0.010777,0.311677,0.182715,0.137024
red_alc_china,Red ALC-China,1,1,1,1.0,1.0,economy_trade,1.0,security_strategy,0.0,1.0,False,False,True,2022.0,2022.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
research_centre_for_china_s_heritage_studies,Research Centre for China's Heritage Studies,15,15,10,0.666667,10.000001,society_culture,0.848892,governance_law,0.119129,0.729763,False,False,True,2012.0,2024.0,0.0,0.024835,0.007143,0.0,0.119129,0.848892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soas_china_institute,SOAS China Institute,192,192,161,0.838542,161.0,society_culture,0.316265,economy_trade,0.252785,0.06348,False,False,False,2000.0,2025.0,0.160552,0.252785,0.033534,0.004478,0.232386,0.316265,0.018417,0.010547,0.017203,0.022159,0.0,0.007331,0.0,0.019303,0.026657,0.024369,0.018695,0.012348
sigur_center_for_asian_studies,Sigur Center for Asian Studies,175,175,148,0.845714,148.000004,security_strategy,0.635433,economy_trade,0.129956,0.505477,False,False,False,2000.0,2025.0,0.635433,0.129956,0.034769,0.014163,0.11111,0.074569,0.041847,0.144571,0.040446,0.207366,0.028555,0.196298,0.053047,0.191991,0.021979,0.040317,0.013925,0.051597
stanford_center_on_china_s_economy_and_institutions,Stanford Center on China's Economy and Institutions,453,453,379,0.836645,379.000001,society_culture,0.763206,economy_trade,0.116603,0.646603,False,False,False,2002.0,2026.0,0.018067,0.116603,0.076905,0.008177,0.017042,0.763206,0.006175,0.054889,0.003827,0.025072,0.0,0.020618,0.0,0.0,0.0,0.134489,0.000877,0.010651
swedish_national_china_centre,Swedish National China Centre,7,7,7,1.0,6.999999,security_strategy,0.454173,science_technology,0.22371,0.230463,False,False,True,2021.0,2024.0,0.454173,0.151011,0.22371,0.016005,0.108465,0.046636,0.108974,0.106092,0.019798,0.222595,0.020112,0.009391,0.046272,0.0,0.181175,0.197906,0.242929,0.362676
the_china_institute,The China Institute,9,9,6,0.666667,5.999999,security_strategy,0.534474,economy_trade,0.339284,0.19519,False,False,True,2010.0,2021.0,0.534474,0.339284,0.0,0.0,0.076923,0.04932,0.121749,0.095714,0.0,0.018094,0.0,0.0,0.0,0.0,0.0,0.638433,0.211103,0.0
tsinghua_university_latin_america_center,Tsinghua University Latin America Center,3,3,3,1.0,3.0,economy_trade,0.272917,governance_law,0.259615,0.013302,False,True,True,2021.0,2023.0,0.170833,0.272917,0.054487,0.041667,0.259615,0.200481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
usc_u_s_china_institute,USC U.S.-China Institute,73,73,55,0.753425,54.999995,security_strategy,0.330767,society_culture,0.260991,0.069776,False,False,False,2003.0,2026.0,0.330767,0.185596,0.113094,0.002848,0.106703,0.260991,0.058501,0.045958,0.041174,0.070639,0.009528,0.020041,0.053327,0.279911,0.005739,0.051984,0.003678,0.04996
university_of_oxford_china_centre,University of Oxford China Centre,255,255,202,0.792157,201.999999,security_strategy,0.252222,society_culture,0.226446,0.025776,False,True,False,2008.0,2026.0,0.252222,0.174254,0.168584,0.026721,0.151774,0.226446,0.045386,0.058736,0.001219,0.112902,0.018445,0.148267,0.0,0.027764,0.030989,0.0195,0.002199,0.035756
weatherhead_east_asian_institute,Weatherhead East Asian Institute,180,180,120,0.666667,119.999996,society_culture,0.439424,security_strategy,0.21088,0.228544,False,False,False,2000.0,2025.0,0.21088,0.118739,0.039088,0.02065,0.171219,0.439424,0.071471,0.038935,0.002035,0.092797,0.016665,0.039914,0.0,0.164043,0.04073,0.092505,0.005026,0.034379
