institute_id,institute_name,total_docs,total_paragraphs,classified_paragraphs,classified_paragraph_share,classified_weight_sum,dominant_domain,dominant_domain_share,dominant_domain_runner_up,dominant_domain_runner_up_share,dominant_domain_gap,dominant_domain_tie_flag,dominant_domain_borderline_flag,low_volume_flag,year_min,year_max,security_strategy_salience_share,economy_trade_salience_share,science_technology_salience_share,environment_climate_salience_share,governance_law_salience_share,society_culture_salience_share,security_strategy_rival_prop,security_strategy_collaborator_prop,economy_trade_rival_prop,economy_trade_collaborator_prop,science_technology_rival_prop,science_technology_collaborator_prop,environment_climate_rival_prop,environment_climate_collaborator_prop,governance_law_rival_prop,governance_law_collaborator_prop,society_culture_rival_prop,society_culture_collaborator_prop
china_policy_institute_cpi_analysis,China Policy Institute / CPI Analysis,565,565,385,0.681416,385.000001,economy_trade,0.264016,security_strategy,0.213915,0.050101,False,False,False,2005.0,2025.0,0.213915,0.264016,0.111672,0.078039,0.12427,0.208088,0.064039,0.068978,0.00541,0.035157,0.003619,0.036663,0.0,0.011136,0.003828,0.019214,0.008278,0.037873
china_research_center,China Research Center,2,2,2,1.0,2.0,science_technology,0.5,society_culture,0.5,0.0,True,True,True,2015.0,2019.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
china_research_centre,China Research Centre,2,2,0,0.0,0.0,security_strategy,0.0,economy_trade,0.0,0.0,True,True,True,2012.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
china_studies_centre,China Studies Centre,195,195,149,0.764103,149.000001,security_strategy,0.49036,economy_trade,0.201072,0.289288,False,False,False,2010.0,2026.0,0.49036,0.201072,0.053562,0.017404,0.052509,0.185091,0.029534,0.083168,0.0046,0.06182,0.004159,0.074255,0.033317,0.044479,0.043471,0.032913,0.005473,0.051724
china_studies_program,China Studies Institute,168,168,115,0.684524,115.000001,society_culture,0.404606,security_strategy,0.200214,0.204392,False,False,False,2000.0,2026.0,0.200214,0.152523,0.10334,0.054537,0.084779,0.404606,0.0,0.011084,0.0,0.006118,0.0,0.018809,0.0,0.0,0.0,0.003612,0.0,0.046543
china_studies_institute_yonsei,China Studies Institute,4,4,2,0.5,2.0,society_culture,0.629032,security_strategy,0.354839,0.274193,False,False,True,2011.0,2023.0,0.354839,0.0,0.0,0.0,0.016129,0.629032,0.0,0.600329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.600316,0.0,0.123145
china_studies_institute_aascu,China Studies Institute,3,3,1,0.333333,1.0,society_culture,1.0,security_strategy,0.0,1.0,False,False,True,2011.0,2018.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
china_studies_institute,China Studies Institute,24,24,20,0.833333,19.999999,security_strategy,0.66648,society_culture,0.16093,0.50555,False,False,False,2011.0,2025.0,0.66648,0.0,0.075567,0.0,0.097023,0.16093,0.023137,0.066667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00998,0.0,0.048134
china_studies_program_chulalongkorn,China Studies Program,7,7,7,1.0,7.0,society_culture,0.379428,security_strategy,0.339587,0.039841,False,True,True,2007.0,2024.0,0.339587,0.080763,0.196429,0.0,0.003793,0.379428,0.121667,0.144658,0.039351,0.039351,0.0,0.408303,0.0,0.0,0.0,0.0,0.002792,0.306056
china_studies_program_washington,China Studies Program,11,11,11,1.0,11.0,society_culture,0.434928,security_strategy,0.286031,0.148897,False,False,True,2000.0,2024.0,0.286031,0.067205,0.125,0.0,0.086836,0.434928,0.091921,0.109291,0.030094,0.030094,0.0,0.408303,0.0,0.0,0.0,0.0,0.00155,0.16991
china_programme_twai,China programme,15,15,14,0.933333,14.000001,science_technology,0.286806,society_culture,0.242009,0.044797,False,True,True,2003.0,2025.0,0.176843,0.098384,0.286806,0.014234,0.181723,0.242009,0.0,0.03284,0.0,0.286594,0.0,0.145415,0.0,0.0,0.0,0.219078,0.0,0.019079
china_programme_ifri,China programme,15,15,14,0.933333,14.000001,science_technology,0.286806,society_culture,0.242009,0.044797,False,True,True,2003.0,2025.0,0.176843,0.098384,0.286806,0.014234,0.181723,0.242009,0.0,0.03284,0.0,0.286594,0.0,0.145415,0.0,0.0,0.0,0.219078,0.0,0.019079
china_programme,China programme,35,35,28,0.8,27.999996,security_strategy,0.384295,governance_law,0.243796,0.140499,False,False,False,2002.0,2025.0,0.384295,0.127887,0.205582,0.008571,0.243796,0.02987,0.088772,0.104461,0.002321,0.153924,0.077998,0.017875,0.013601,0.060761,0.013146,0.029916,0.002438,0.061788
china_programs,China programs,39,39,32,0.820513,32.000002,economy_trade,0.40055,society_culture,0.21447,0.18608,False,False,False,2004.0,2025.0,0.200383,0.40055,0.154289,0.027183,0.003125,0.21447,0.060591,0.092756,0.042368,0.066228,0.0,0.029303,0.0,0.786343,0.57915,0.0,0.0,0.0
chinese_studies_program,Chinese Studies Program,90,90,74,0.822222,74.0,society_culture,0.517695,governance_law,0.18716,0.330535,False,False,False,2003.0,2025.0,0.106061,0.121736,0.041671,0.025676,0.18716,0.517695,0.229753,0.008885,0.0,0.009409,0.100566,0.072195,0.0,0.0,0.037368,0.044864,0.0,0.038325
contemporary_china_studies_programme_ccsp,Contemporary China Studies Programme (CCSP),112,112,80,0.714286,80.0,society_culture,0.511848,economy_trade,0.153402,0.358446,False,False,False,2003.0,2025.0,0.080785,0.153402,0.100384,0.0125,0.141081,0.511848,0.008288,0.035358,0.054667,0.04167,0.0,0.213994,0.0,0.873871,0.03322,0.002787,0.001744,0.003842
cornell_china_center,Cornell China Center,32,32,24,0.75,24.000003,society_culture,0.305112,security_strategy,0.217821,0.087291,False,False,False,2012.0,2025.0,0.217821,0.190995,0.186687,0.005573,0.093812,0.305112,0.017156,0.037103,0.02014,0.014218,0.010155,0.063291,0.0,0.280403,0.001131,0.050105,0.014694,0.020467
durham_china_centre,Durham China Centre,236,236,139,0.588983,138.999996,economy_trade,0.239384,society_culture,0.216021,0.023363,False,True,False,2015.0,2026.0,0.168774,0.239384,0.210252,0.049182,0.116386,0.216021,0.004905,0.03351,0.013281,0.006862,0.018412,0.058402,0.051291,0.043277,0.024228,0.043864,0.021824,0.017532
east_asian_institute,East Asian Institute,174,174,148,0.850575,148.000004,economy_trade,0.33347,security_strategy,0.230999,0.102471,False,False,False,2000.0,2025.0,0.230999,0.33347,0.121295,0.0,0.108464,0.205772,0.026397,0.133475,0.005025,0.103023,0.0,0.075503,0.0,0.0,0.0,0.047479,0.000819,0.04911
east_asian_studies_center,East Asian Studies Center,170,170,89,0.523529,89.0,society_culture,0.468347,environment_climate,0.139321,0.329026,False,False,False,2001.0,2025.0,0.128742,0.135935,0.093201,0.139321,0.034455,0.468347,0.01192,0.060216,0.005989,0.05036,0.021902,0.013051,0.001124,0.0,0.001136,0.00435,0.013587,0.005563
