sample,model,outcome,term,estimate,std_error_cluster,t_stat,p_value,ci_low,ci_high,n_rows,n_clusters
orientation_eligible_docs,source_region_year_type,embedding_score,Intercept,0.06828829596295272,0.041248570810607746,1.655531200741415,0.10194063325979114,-0.012558902825838464,0.1491354947517439,6388,77
orientation_eligible_docs,source_region_year_type,embedding_score,source_policy,-0.2614144159740582,0.028796984315655954,-9.077839995625373,9.472969884631075e-14,-0.31785650523274384,-0.20497232671537252,6388,77
orientation_eligible_docs,source_region_year_type,embedding_score,source_grey,-0.04173772700772101,0.04684872493430529,-0.890904225595226,0.37579232390691647,-0.13356122787895935,0.050085773863517355,6388,77
orientation_eligible_docs,source_region_year_type,embedding_score,year_centered,0.003047925936923229,0.0018773193134926011,1.6235522188565827,0.1086122649164051,-0.000631619917522269,0.006727471791368727,6388,77
orientation_eligible_docs,source_region_year_type,embedding_score,region[Europe],-0.0631131844196499,0.04355579647037979,-1.4490191784822521,0.1514459389484872,-0.1484825455015943,0.022256176662294486,6388,77
orientation_eligible_docs,source_region_year_type,embedding_score,region[Asia],-0.08685766686852466,0.08101867313610567,-1.0720697279577744,0.28708125535863077,-0.24565426621529174,0.07193893247824244,6388,77
orientation_eligible_docs,source_region_year_type,embedding_score,region[Oceania],-0.11945005527445537,0.05116671250216252,-2.3345266762918744,0.022211310381849928,-0.21973681177869392,-0.01916329877021683,6388,77
orientation_eligible_docs,source_region_year_type,embedding_score,region[Mixed/Other],-0.05042505286152733,0.05872372370275136,-0.8586828232618494,0.3932157080129195,-0.16552355131892,0.06467344559586535,6388,77
orientation_eligible_docs,source_region_year_type,embedding_score,type[joint center],-0.02490569433120962,0.0462777811921647,-0.5381782291547377,0.5920266864363095,-0.11561014546785242,0.06579875680543318,6388,77
orientation_eligible_docs,source_region_year_type,embedding_score,type[missing],-0.2392637781249782,0.0520554780725299,-4.596322749963171,1.680096650618339e-05,-0.3412925151471368,-0.1372350411028196,6388,77
orientation_eligible_docs,source_region_year_type,embedding_score,type[network],-0.015318190141908737,0.09205096921317686,-0.16640987349556313,0.8682763358189842,-0.1957380897997354,0.1651017095159179,6388,77
orientation_eligible_docs,source_region_year_type,embedding_score,type[policy / think tank],0.05367787982467851,0.03724702656743015,1.4411319445191892,0.15365502742651171,-0.019326292247484576,0.1266820518968416,6388,77
orientation_eligible_docs,source_region_year_type,embedding_score,type[program / project],0.05765756179263791,0.05574094466966273,1.0343843674400142,0.30423675891004515,-0.05159468975990103,0.16690981334517685,6388,77
all_docs,source_region_year_type_lpm,sensitive_flag_num,Intercept,0.03497323136142787,0.009510575538118949,3.6772991520074774,0.000425390382296685,0.016332503306714728,0.053613959416141006,9358,81
all_docs,source_region_year_type_lpm,sensitive_flag_num,source_policy,-0.030693438677012658,0.006292780317377947,-4.877563990633934,5.368845977680675e-06,-0.043027288099073434,-0.01835958925495188,9358,81
all_docs,source_region_year_type_lpm,sensitive_flag_num,source_grey,0.051071665676706526,0.06423437930567133,0.79508304164772,0.4289178087500129,-0.07482771776240928,0.17697104911582234,9358,81
all_docs,source_region_year_type_lpm,sensitive_flag_num,year_centered,0.00038013671031035144,0.000655624090236038,0.5798089423063977,0.5636728502645314,-0.0009048865065522829,0.0016651599271729858,9358,81
all_docs,source_region_year_type_lpm,sensitive_flag_num,region[Europe],-0.004623317168904725,0.011846232645712293,-0.3902774246610901,0.6973686613542305,-0.027841933154500818,0.018595298816691367,9358,81
all_docs,source_region_year_type_lpm,sensitive_flag_num,region[Asia],0.020550467580352498,0.03010694883361793,0.6825822069822465,0.49684268537541126,-0.03845915213353864,0.07956008729424363,9358,81
all_docs,source_region_year_type_lpm,sensitive_flag_num,region[Oceania],-0.004053593288553133,0.012551523036971128,-0.3229562879829862,0.7475709555645322,-0.028654578441016543,0.020547391863910275,9358,81
all_docs,source_region_year_type_lpm,sensitive_flag_num,region[Mixed/Other],0.04227561463275057,0.02306912102201727,1.8325628701848906,0.07058835737835305,-0.0029398625704032816,0.08749109183590442,9358,81
all_docs,source_region_year_type_lpm,sensitive_flag_num,type[joint center],-0.056559438288262376,0.020475212298092876,-2.7623370866601706,0.007117234610857174,-0.09669085439252442,-0.016428022184000336,9358,81
all_docs,source_region_year_type_lpm,sensitive_flag_num,type[missing],-0.09806215684372248,0.03818276253287209,-2.5682310639336103,0.01208225906078573,-0.1729003714081518,-0.023223942279293183,9358,81
all_docs,source_region_year_type_lpm,sensitive_flag_num,type[network],0.02475338695197933,0.02504450331113292,0.9883760378260653,0.32594850494662686,-0.02433383953784119,0.07384061344179985,9358,81
all_docs,source_region_year_type_lpm,sensitive_flag_num,type[policy / think tank],-0.016751399253425288,0.01162079654781306,-1.4415018096653422,0.15334607308960785,-0.039528160487138884,0.006025361980288309,9358,81
all_docs,source_region_year_type_lpm,sensitive_flag_num,type[program / project],0.005518793809806116,0.010238113973808846,0.5390439903212936,0.5913534913874776,-0.014547909578859222,0.025585497198471453,9358,81
